article.url, issue.year, issue.volume, issue.date.of.publication, issue.pages, article.title, article.abstract, article.doi, article.pages, author1, institution1, author2, institution2, author3, institution3, author4, institution4, author5, institution5, author6, institution6, author7, institution7, author8, institution8, author9, institution9, author10, institution10, article.abstract.views, article.full.text.views
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465206&amp&fulltextType=RA&amp&fileId=S0007123413000240","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","Human Rights Institutions, Sovereignty Costs and Democratization","Why do countries join international human rights institutions, when membership often yields few material gains and constrains state sovereignty? This article argues that entering a human rights institution can yield substantial benefits for democratizing states. Emerging democracies can use the &#8216;sovereignty costs&#8217; associated with membership to lock in liberal policies and signal their intent to consolidate democracy. It also argues, however, that the magnitude of these costs varies across different human rights institutions, which include both treaties and international organizations. Consistent with this argument, the study finds that democratizing states tend to join human rights institutions that impose greater constraints on state sovereignty.' + '","http://dx.doi.org/10.1017/S0007123413000240","1-27","Emilie M.Hafner-Burton Edward D.MansfieldJon C.W.Pevehouse","","","","","","","","","","","","","","","","","","","","2915","1124"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465169&amp&fulltextType=RA&amp&fileId=S0007123413000203","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","Online Social Media and Political Awareness in Authoritarian Regimes","Do online social media undermine authoritarianism? The conditions under which online social networks can increase public awareness of electoral fraud in non-democracies are examined in this article and it is argued that a given online social network will only increase political awareness if it is first politicized by elites. Survey data from the 2011 Russian parliamentary elections show that usage of Twitter and Facebook, which were politicized by opposition elites, significantly increased respondents&#8217; perceptions of electoral fraud, while usage of Russia&#39;s domestic social networking platforms, VKontakte and Odnoklassniki, which were not politicized by opposition activists, had no effect on perceptions of fraud. This study elucidates the causes of post-election protest by uncovering a mechanism through which knowledge of electoral fraud spreads.' + '","http://dx.doi.org/10.1017/S0007123413000203","29-51","Ora JohnReuterDavidSzakonyi","","","","","","","","","","","","","","","","","","","","4016","1525"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465219&amp&fulltextType=RA&amp&fileId=S0007123413000276","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","Foreign Aided: Why Democratization Brings Growth When Democracy Does Not","There is an unresolved puzzle in research on the economics of democracy. While there is consensus that democracy is not generally associated with higher rates of economic growth, recent studies have found that democratization is followed by growth. But why should becoming a democracy bring growth if being one does not? This article shows that a substantial and immediate influx of foreign aid into new democracies accounts for the positive growth effect of democratization. The domestic regime characteristics of neither democracy nor democratization therefore seems to bring growth. The importance of aid in explaining the democratization-growth nexus underscores that democratizations do not occur in vacuum and cannot be fully understood from internal factors alone.' + '","http://dx.doi.org/10.1017/S0007123413000276","53-71","Jacob GernerHariri","There is an unresolved puzzle in research on the economics of democracy. While there is consensus that democracy is not generally associated with higher rates of economic growth, recent studies have found that democratization is followed by growth. But why should becoming a democracy bring growth if being one does not? This article shows that a substantial and immediate influx of foreign aid into new democracies accounts for the positive growth effect of democratization. The domestic regime characteristics of neither democracy nor democratization therefore seems to bring growth. The importance of aid in explaining the democratization-growth nexus underscores that democratizations do not occur in vacuum and cannot be fully understood from internal factors alone.","","","","","","","","","","","","","","","","","","","2535","599"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465214&amp&fulltextType=RA&amp&fileId=S0007123413000227","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","The Impact of Campaign Finance Laws on Party Competition","The comparative literature on party systems has convincingly demonstrated that electoral rules, social cleavages and their interaction can explain much of the cross-national variation in the size of party systems. This literature, however, has thus far ignored campaign finance laws. This article argues that various campaign finance laws exert more or less restrictive pressures on party competition. It develops a new theoretical concept, fund parity. The study demonstrates the positive relationship between fund parity and party system size and employs additional tests to supplement the regression analysis in order to account for potential endogeneity issues. The findings underscore an intuitive &#8211; but heretofore untested &#8211; relationship: increasing parity makes party competition more permissive and increases the size of the party system.' + '","http://dx.doi.org/10.1017/S0007123413000227","73-95","Joshua D.PotterMargitTavits","","","","","","","","","","","","","","","","","","","","2718","602"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465201&amp&fulltextType=RA&amp&fileId=S0007123413000239","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","Explaining Party Positions on Decentralization","Debates about decentralization raise cultural questions of identity and economic questions of redistribution and efficiency. Therefore the preferences of statewide parties regarding decentralization are related to their positions on the economic and cultural ideological dimensions. A statistical analysis using data from thirty-one countries confirms this: parties on the economic right are more supportive of decentralization than parties on the economic left, while culturally liberal parties favour decentralization more than culturally conservative parties. However, country context &#8211; specifically the degree of regional self-rule, the extent of regional economic disparity and the ideology of regionalist parties &#8211; determines whether and how decentralization is linked to the two dimensions. These findings have implications for our understanding of the politics of decentralization by showing how ideology, rooted in a specific country context, shapes the &#8216;mindset&#8217; of agents responsible for determining the territorial distribution of power.' + '","http://dx.doi.org/10.1017/S0007123413000239","97-119","SimonToubeauMarkusWagner","","","","","","","","","","","","","","","","","","","","2266","1779"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465196&amp&fulltextType=RA&amp&fileId=S0007123413000215","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","The Politics of Fission: An Analysis of Faction Breakaways among Italian Parties (1946–2011)","This article investigates intra-party politics and explores the determinants of factional breakaways, going beyond the unitary actor assumption. It presents a game-theoretic model that focuses on intra-party competition and bargaining dynamics to analyse the interplay between party leaders and minority factions. It tests several hypotheses based on the formal model using a new dataset that contains information about the strength and policy positions of factions inside Italian parties, from 1946 to 2011, measured through quantitative content analysis of motions presented during party congresses. The results show that office, policy and electoral motives influence factions&#8217; decisions to break away. Other elements &#8211; such as intra-party democracy, the electoral system and party system competitiveness &#8211; also affect leaders&#8217; attitudes toward compromising and alter the likelihood of a split.' + '","http://dx.doi.org/10.1017/S0007123413000215","121-139","AndreaCeron","This article investigates intra-party politics and explores the determinants of factional breakaways, going beyond the unitary actor assumption. It presents a game-theoretic model that focuses on intra-party competition and bargaining dynamics to analyse the interplay between party leaders and minority factions. It tests several hypotheses based on the formal model using a new dataset that contains information about the strength and policy positions of factions inside Italian parties, from 1946 to 2011, measured through quantitative content analysis of motions presented during party congresses. The results show that office, policy and electoral motives influence factions&#8217; decisions to break away. Other elements &#8211; such as intra-party democracy, the electoral system and party system competitiveness &#8211; also affect leaders&#8217; attitudes toward compromising and alter the likelihood of a split.","","","","","","","","","","","","","","","","","","","1737","450"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465191&amp&fulltextType=RA&amp&fileId=S000712341300015X","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","The Origins of Patronage Politics: State Building, Centrifugalism, and Decolonization","This article develops a two-part theory that accounts for both the origins and the persistence of patronage politics. First, greater centrifugal and disintegrative pressures at key moments in the state-building process give local elites more opportunity to institutionalize patronage at the subnational level. Second, decentralized patronage systems are more resistant to reform than centralized ones. Case studies of India and Ceylon illustrate how variation in centrifugal pressures allowed subnational elites to capture the state in the former but not the latter. Further data from the British Empire shows that greater centrifugal pressures faced by British colonies at the time of decolonization are correlated with the persistence of higher levels of patronage over time.' + '","http://dx.doi.org/10.1017/S000712341300015X","141-171","Paul D.Kenny","This article develops a two-part theory that accounts for both the origins and the persistence of patronage politics. First, greater centrifugal and disintegrative pressures at key moments in the state-building process give local elites more opportunity to institutionalize patronage at the subnational level. Second, decentralized patronage systems are more resistant to reform than centralized ones. Case studies of India and Ceylon illustrate how variation in centrifugal pressures allowed subnational elites to capture the state in the former but not the latter. Further data from the British Empire shows that greater centrifugal pressures faced by British colonies at the time of decolonization are correlated with the persistence of higher levels of patronage over time.","","","","","","","","","","","","","","","","","","","1931","689"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465211&amp&fulltextType=RA&amp&fileId=S0007123413000318","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","Policy Representation, Social Representation and Class Voting in Britain","Why does the strength of class voting vary over time? Recent research has emphasized factors related to the structure of political choice at the party level. This article examines different aspects of this choice, and investigates whether voters are more likely to respond to the social or policy cues that parties send voters. The results from the British context suggest that the former are more important than the latter. The central implication of this finding is that social representation matters, and that the social background of political representatives influences how voters relate to political parties.' + '","http://dx.doi.org/10.1017/S0007123413000318","173-193","OliverHeath","Why does the strength of class voting vary over time? Recent research has emphasized factors related to the structure of political choice at the party level. This article examines different aspects of this choice, and investigates whether voters are more likely to respond to the social or policy cues that parties send voters. The results from the British context suggest that the former are more important than the latter. The central implication of this finding is that social representation matters, and that the social background of political representatives influences how voters relate to political parties.","","","","","","","","","","","","","","","","","","","2603","1071"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465181&amp&fulltextType=RA&amp&fileId=S0007123413000045","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","Fair&#39;s Fair? Principles, Partisanship, and Perceptions of the Fairness of Campaign Rhetoric","This article considers the role of principles in perceptions of what constitutes acceptable rhetoric in election campaigns. Previous research suggests that citizens use principles of what is an acceptable attack in campaigns when evaluating charges and countercharges, while acknowledging that under some circumstances citizens accept rhetoric that would seem to breach their principles. This research has not adequately considered how partisanship can affect a respondent&#39;s proclivity to call upon principles in assessing campaign rhetoric. This article draws on three original surveys to test competing models of the role of partisanship and finds robust results in support of a strong partisan bias. It concludes that it is not that citizens are resilient to violations of their principles, but that nearly the opposite is the case: citizens&#8217; sensitivity to attacks on their preferred candidate leads them to take a very partial view of when to apply their principles faithfully to a judgment and when not to.' + '","http://dx.doi.org/10.1017/S0007123413000045","195-213","DanielStevens BarbaraAllen JohnSullivanEricLawrence","","","","","","","","","","","","","","","","","","","","1022","310"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465186&amp&fulltextType=RA&amp&fileId=S0007123413000148","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","Political Legitimacy in the Real Normative World: The Priority of Morality and the Autonomy of the Political","According to what has recently been labeled &#8216;political realism&#8217; in political theory, &#8216;political moralists&#8217; such as Rawls and Dworkin misconstrue the political domain by presuming that morality has priority over politics, thus overlooking that the political is an autonomous domain with its own distinctive conditions and normative sources. Political realists argue that this presumption, commonly referred to as the &#8216;ethics first premise&#8217;, has to be abandoned in order to properly theorize a normative conception of political legitimacy. This article critically examines two features of political realism, which so far have received too little systematic philosophical analysis: the political realist critique of political moralism and the challenges facing political realism in its attempt to offer an alternative account of political legitimacy. Two theses are defended. First, to the extent that proponents of political realism wish to hold onto a normative conception of political legitimacy, refuting wholesale the ethics first premise leads to a deadlock, since it throws the baby out with the bathwater by closing the normative space upon which their account of political legitimacy relies. This is called the &#8216;necessity thesis&#8217;: all coherent and plausible conceptions of political legitimacy must hold onto the ethics first premise. Secondly, accepting this premise &#8211; and thus defending an ethics first view &#8211; does not entail that the political domain must be seen as a subordinate arena for the application of moral principles, that political normativity is reduced to morality or that morality trumps other reasons in political decision making, as claimed by political realists. Rather, the ethics first view is compatible with an autonomous political domain that makes room for an account of political legitimacy that is defined by and substantiated from sources of normativity specifically within the political. This is called the &#8216;compatibility thesis&#8217;.' + '","http://dx.doi.org/10.1017/S0007123413000148","215-233","EvaErmanNiklasM&#246;ller","","","","","","","","","","","","","","","","","","","","2079","647"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465236&amp&fulltextType=XX&amp&fileId=S0007123414000507","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","JPS volume 45 issue 1 Cover and Front matter","","http://dx.doi.org/10.1017/S0007123414000507","f1-f2","","","","","","","","","","","","","","","","","","","","","226","59"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9465238&amp&fulltextType=XX&amp&fileId=S0007123414000519","2015","45","Thu Jan 01 00:00:00 GMT 2015","1-233","JPS volume 45 issue 1 Cover and Back matter","","http://dx.doi.org/10.1017/S0007123414000519","b1-b8","","","","","","","","","","","","","","","","","","","","","221","54"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9584611&amp&fulltextType=RA&amp&fileId=S0007123414000568","2015","45","Wed Apr 01 00:00:00 BST 2015","235-466","The British Academy Brian Barry Prize Essay: Mandatory Citizenship for Immigrants","Long-term immigrants often have the option but not the obligation to acquire citizenship in their state of residence. Contrary to the received wisdom, this article defends the idea of mandatory citizenship for immigrants. It suggests that the current asymmetry in the distribution of political obligations between native-born citizens and immigrants is unfair. It also argues that mandatory citizenship is required by the principle that those who persistently affect others should share a democratic setting. Finally, it claims that mandatory citizenship is more compatible with the ideal of democratic equality and more conducive to a stable society.' + '","http://dx.doi.org/10.1017/S0007123414000568","235-251","Helder De SchutterLea Ypi","","","","","","","","","","","","","","","","","","","","1400","585"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9584590&amp&fulltextType=RA&amp&fileId=S0007123413000355","2015","45","Wed Apr 01 00:00:00 BST 2015","235-466","Reassessing the Links between Regime Type and Economic Performance: Why Some Authoritarian Regimes Show Stable Growth and Others Do Not","This analysis challenges claims that regime type determines national economic performance, and hypothesizes that the level of public deliberation, rather than broad categories of regime type, is the driver of national economic performance across political systems; specifically, that negotiations, disagreements, and compromises between decentralized decision-making partisans (e.g., citizens, business representatives, professional associations, labor, and public administrators) are the underlying causal mechanism explaining the non-monotonic relationship between different types of political system and economic performance. Countries with high levels of public deliberation more often experience stable growth outcomes, while other countries can make radical changes in economic policy with uncertain outcome. The variation in public deliberation within regime type is significant, especially amongst authoritarian regimes. One startling implication is that, in certain situations, impressive gains in economic growth can be achieved only at the expense of active negotiation and participation in the policy-making process.' + '","http://dx.doi.org/10.1017/S0007123413000355","253-285","Siddharth ChandraNita Rudra","","","","","","","","","","","","","","","","","","","","2144","1148"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9584593&amp&fulltextType=RA&amp&fileId=S0007123413000252","2015","45","Wed Apr 01 00:00:00 BST 2015","235-466","Oil and Autocratic Regime Survival","This article uncovers a new mechanism linking oil wealth to autocratic regime survival: the investigation tests whether increases in oil wealth improve the survival of autocracies by lowering the chances of democratization, reducing the risk of transition to subsequent dictatorship, or both. Using a new measure of autocratic durability shows that, once models allow for unit effects, oil wealth promotes autocratic survival by lowering the risk of ouster by rival autocratic groups. Evidence also indicates that oil income increases military spending in dictatorships, which suggests that increasing oil wealth may deter coups that could have caused a regime collapse.' + '","http://dx.doi.org/10.1017/S0007123413000252","287-306","Joseph Wright Erica FrantzBarbara Geddes","","","","","","","","","","","","","","","","","","","","2936","1281"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9584622&amp&fulltextType=RA&amp&fileId=S0007123413000434","2015","45","Wed Apr 01 00:00:00 BST 2015","235-466","The Political Economy of Prevention","Prevention in public policy is much discussed but rarely theorized. This article begins with a theoretical framework for reflecting on the political economy of prevention in advanced capitalist economies that integrates the analysis of preventive policies across the social, environmental and economic domains. The next two sections survey prevention initiatives in social policy and climate change policy, respectively. These mainly focus on the last three decades and are based mainly on UK evidence. The article then considers the relative absence of prevention in contemporary economic policy and management: today&#39;s neo-liberal economic and political order powerfully constrains preventive public policy. The final section outlines an alternative social political economy that prioritizes preventive and precautionary policy making.' + '","http://dx.doi.org/10.1017/S0007123413000434","307-327","Ian Gough","","","","","","","","","","","","","","","","","","","","1186","402"
