article.url, issue.year, issue.volume, issue.date.of.publication, issue.pages, article.title, article.abstract, article.doi, article.pages, author1, institution1, author2, institution2, author3, institution3, author4, institution4, author5, institution5, author6, institution6, author7, institution7, author8, institution8, author9, institution9, author10, institution10, article.abstract.views, article.full.text.views
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9586492&amp&fulltextType=ED&amp&fileId=S1537592714003090","2015","13","Sun Mar 01 00:00:00 GMT 2015","1-267","Modernization and Politics","","http://dx.doi.org/10.1017/S1537592714003090","1-6","Jeffrey C. Isaac","","","","","","","","","","","","","","","","","","","","861","426"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9586498&amp&fulltextType=RA&amp&fileId=S1537592714003107","2015","13","Sun Mar 01 00:00:00 GMT 2015","1-267","Did Hamilton, Jefferson, and Madison “Cause” the U.S. Government Shutdown? The Institutional Path from an Eighteenth Century Republic to a Twenty-first Century Democracy","This address asks how we got to today&#8217;s politics in America; a politics of polarized political parties engaged in close political competition in a system of checks and balances. The result has often been divided control of government and an apparent inability to address major political problems. This address develops the historical foundation for these characteristics. Historically, the Founding period set the stage of separated powers and the first party system. America developed a market economy, a middle class, and a mass-based set of parties in the Antebellum period. Through the Progressive era, nation-wide reforms led to a more democratic but increasingly candidate-centered politics in the North, and the establishment of Jim Crow politics in the South. The post-War period saw the full development of candidate-centered elections. While the breakup of Jim Crow due to the Civil Rights and Voting Rights Acts in the mid-1960s ended Jim Crow and made possible a competitive party system in the South, the later was delayed until the full implementation of the Republican&#8217;s &#8220;southern strategy&#8221; in 1980 and beyond. This set in motion the partisan polarization of today, to combine with separated powers to create what many refer to as the &#8220;current&#8221; political &#8220;dysfunction.&#8221;' + '","http://dx.doi.org/10.1017/S1537592714003107","7-23","John H. Aldrich","This address asks how we got to today&#8217;s politics in America; a politics of polarized political parties engaged in close political competition in a system of checks and balances. The result has often been divided control of government and an apparent inability to address major political problems. This address develops the historical foundation for these characteristics. Historically, the Founding period set the stage of separated powers and the first party system. America developed a market economy, a middle class, and a mass-based set of parties in the Antebellum period. Through the Progressive era, nation-wide reforms led to a more democratic but increasingly candidate-centered politics in the North, and the establishment of Jim Crow politics in the South. The post-War period saw the full development of candidate-centered elections. While the breakup of Jim Crow due to the Civil Rights and Voting Rights Acts in the mid-1960s ended Jim Crow and made possible a competitive party system in the South, the later was delayed until the full implementation of the Republican&#8217;s &#8220;southern strategy&#8221; in 1980 and beyond. This set in motion the partisan polarization of today, to combine with separated powers to create what many refer to as the &#8220;current&#8221; political &#8220;dysfunction.&#8221;","","","","","","","","","","","","","","","","","","","942","427"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9586480&amp&fulltextType=RA&amp&fileId=S1537592714003119","2015","13","Sun Mar 01 00:00:00 GMT 2015","1-267","Seeing Like an Autocrat: Liberal Social Engineering in an Illiberal State","Recent studies of autocratic liberalization adopt a rationalist approach in which autocrats&#8217; motives and styles of reasoning are imputed or deduced. By contrast, I investigate these empirically. I focus on liberal social engineering in the Persian Gulf, where authoritarian state efforts to shape citizen hearts and minds conform incongruously to liberal ideals of character. To explain this important but under-studied variant on autocratic liberalization, I present evidence from rare palace ethnography in the United Arab Emirates, including analysis of the jokes and stories ruling elites tell behind closed doors and regular interviews with a ruling monarch. I find that autocrats&#8217; deeply personal experiences in the West as young men and women supplied them with stylized ideas about how modern, productive peoples ought to act and how their own cultures underperform. The evidence also reveals that such experiences can influence autocrats, even years later, leading them to trust in Western-style liberal social engineering as the way forward, despite the risks. Ethnographic findings challenge the contemporary scholarly stereotype of the autocrat as a super-rational being narrowly focused on political survival, illustrating how memory and emotion can also serve as important influences over reasoning and can drive liberal change.' + '","http://dx.doi.org/10.1017/S1537592714003119","24-41","Calvert W. Jones","Recent studies of autocratic liberalization adopt a rationalist approach in which autocrats&#8217; motives and styles of reasoning are imputed or deduced. By contrast, I investigate these empirically. I focus on liberal social engineering in the Persian Gulf, where authoritarian state efforts to shape citizen hearts and minds conform incongruously to liberal ideals of character. To explain this important but under-studied variant on autocratic liberalization, I present evidence from rare palace ethnography in the United Arab Emirates, including analysis of the jokes and stories ruling elites tell behind closed doors and regular interviews with a ruling monarch. I find that autocrats&#8217; deeply personal experiences in the West as young men and women supplied them with stylized ideas about how modern, productive peoples ought to act and how their own cultures underperform. The evidence also reveals that such experiences can influence autocrats, even years later, leading them to trust in Western-style liberal social engineering as the way forward, despite the risks. Ethnographic findings challenge the contemporary scholarly stereotype of the autocrat as a super-rational being narrowly focused on political survival, illustrating how memory and emotion can also serve as important influences over reasoning and can drive liberal change.","","","","","","","","","","","","","","","","","","","1521","571"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9586504&amp&fulltextType=RA&amp&fileId=S1537592714003120","2015","13","Sun Mar 01 00:00:00 GMT 2015","1-267","Corrupting the Cyber-Commons: Social Media as a Tool of Autocratic Stability","Non-democratic regimes have increasingly moved beyond merely suppressing online discourse, and are shifting toward proactively subverting and co-opting social media for their own purposes. Namely, social media is increasingly being used to undermine the opposition, to shape the contours of public discussion, and to cheaply gather information about falsified public preferences. Social media is thus becoming not merely an obstacle to autocratic rule but another potential tool of regime durability. I lay out four mechanisms that link social media co-optation to autocratic resilience: 1) counter-mobilization, 2) discourse framing, 3) preference divulgence, and 4) elite coordination. I then detail the recent use of these tactics in mixed and autocratic regimes, with a particular focus on Russia, China, and the Middle East. This rapid evolution of government social media strategies has critical consequences for the future of electoral democracy and state-society relations.' + '","http://dx.doi.org/10.1017/S1537592714003120","42-54","Seva Gunitsky","Non-democratic regimes have increasingly moved beyond merely suppressing online discourse, and are shifting toward proactively subverting and co-opting social media for their own purposes. Namely, social media is increasingly being used to undermine the opposition, to shape the contours of public discussion, and to cheaply gather information about falsified public preferences. Social media is thus becoming not merely an obstacle to autocratic rule but another potential tool of regime durability. I lay out four mechanisms that link social media co-optation to autocratic resilience: 1) counter-mobilization, 2) discourse framing, 3) preference divulgence, and 4) elite coordination. I then detail the recent use of these tactics in mixed and autocratic regimes, with a particular focus on Russia, China, and the Middle East. This rapid evolution of government social media strategies has critical consequences for the future of electoral democracy and state-society relations.","","","","","","","","","","","","","","","","","","","3075","1603"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9586510&amp&fulltextType=RA&amp&fileId=S1537592714003132","2015","13","Sun Mar 01 00:00:00 GMT 2015","1-267","Anti-Americanism and Anti-Interventionism in Arabic Twitter Discourses","Systematic investigation of attitudes expressed in Arabic on Twitter towards the United States and Iran during 2012&#8211;13 shows how the analysis of social media can illuminate the politics of contemporary political discourses and generates an informative analysis of anti-Americanism in the Middle East. We not only analyze overall attitudes, but using a novel events-based analytical strategy, we examine reactions to specific events, including the removal of Mohamed Morsi in Egypt, the Innocence of Muslims video, and reactions to possible U.S. intervention in Syria. We also examine the Boston Marathon bombings of April 2013, in which the United States suffered damage from human beings, and Hurricane Sandy, in which it suffered damage from nature. Our findings reinforce evidence from polling that anti-Americanism is pervasive and intense, but they also suggest that this animus is directed less toward American society than toward the impingement of the United States on other countries. Arabic Twitter discourses about Iran are at least as negative as discourses about the United States, and less ambivalent. Anti-Americanism may be a specific manifestation of a more general phenomenon: resentment toward powerful countries perceived as interfering in national and regional affairs.' + '","http://dx.doi.org/10.1017/S1537592714003132","55-73","Dustin Tingley","Systematic investigation of attitudes expressed in Arabic on Twitter towards the United States and Iran during 2012&#8211;13 shows how the analysis of social media can illuminate the politics of contemporary political discourses and generates an informative analysis of anti-Americanism in the Middle East. We not only analyze overall attitudes, but using a novel events-based analytical strategy, we examine reactions to specific events, including the removal of Mohamed Morsi in Egypt, the Innocence of Muslims video, and reactions to possible U.S. intervention in Syria. We also examine the Boston Marathon bombings of April 2013, in which the United States suffered damage from human beings, and Hurricane Sandy, in which it suffered damage from nature. Our findings reinforce evidence from polling that anti-Americanism is pervasive and intense, but they also suggest that this animus is directed less toward American society than toward the impingement of the United States on other countries. Arabic Twitter discourses about Iran are at least as negative as discourses about the United States, and less ambivalent. Anti-Americanism may be a specific manifestation of a more general phenomenon: resentment toward powerful countries perceived as interfering in national and regional affairs.","Amaney A. Jamal, Robert O. Keohane, David Romney","Systematic investigation of attitudes expressed in Arabic on Twitter towards the United States and Iran during 2012&#8211;13 shows how the analysis of social media can illuminate the politics of contemporary political discourses and generates an informative analysis of anti-Americanism in the Middle East. We not only analyze overall attitudes, but using a novel events-based analytical strategy, we examine reactions to specific events, including the removal of Mohamed Morsi in Egypt, the Innocence of Muslims video, and reactions to possible U.S. intervention in Syria. We also examine the Boston Marathon bombings of April 2013, in which the United States suffered damage from human beings, and Hurricane Sandy, in which it suffered damage from nature. Our findings reinforce evidence from polling that anti-Americanism is pervasive and intense, but they also suggest that this animus is directed less toward American society than toward the impingement of the United States on other countries. Arabic Twitter discourses about Iran are at least as negative as discourses about the United States, and less ambivalent. Anti-Americanism may be a specific manifestation of a more general phenomenon: resentment toward powerful countries perceived as interfering in national and regional affairs.","","","","","","","","","","","","","","","","","1929","352"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9586517&amp&fulltextType=RA&amp&fileId=S1537592714003144","2015","13","Sun Mar 01 00:00:00 GMT 2015","1-267","Is It Gender, Religiosity or Both? A Role Congruity Theory of Candidate Electability in Transitional Tunisia","Do voters regard male and female candidates equally? Does apparent religiosity of candidates help or hurt their electoral chances? Where biases exist, what explains them? We present a novel explanation of political bias, drawing from role congruity theory. It posits that political contexts shape citizens&#39; perceptions of qualities that make a &#8220;capable leader,&#8221; which subsequently drives their willingness to vote for candidates. Evidence from a survey experiment embedded in the 2012 Tunisian Post-Election Survey demonstrates that this theory explains biases based on gender and religiosity better than dominant modernization and social identity theories. Moreover, these mechanisms are also likely to drive political biases related to other features and in other countries. This has important implications for policymakers aiming to reduce political biases in Tunisia, the MENA, or globally. It should encourage them to pay careful attention to stereotyped traits of underrepresented groups and successful leaders, and to use institutional solutions (e.g., electoral quotas) to shape expectations about underrepresented groups and leadership.' + '","http://dx.doi.org/10.1017/S1537592714003144","74-94","Lindsay J. Benstead, Amaney A. Jamal","Do voters regard male and female candidates equally? Does apparent religiosity of candidates help or hurt their electoral chances? Where biases exist, what explains them? We present a novel explanation of political bias, drawing from role congruity theory. It posits that political contexts shape citizens' perceptions of qualities that make a &#8220;capable leader,&#8221; which subsequently drives their willingness to vote for candidates. Evidence from a survey experiment embedded in the 2012 Tunisian Post-Election Survey demonstrates that this theory explains biases based on gender and religiosity better than dominant modernization and social identity theories. Moreover, these mechanisms are also likely to drive political biases related to other features and in other countries. This has important implications for policymakers aiming to reduce political biases in Tunisia, the MENA, or globally. It should encourage them to pay careful attention to stereotyped traits of underrepresented groups and successful leaders, and to use institutional solutions (e.g., electoral quotas) to shape expectations about underrepresented groups and leadership.","Ellen Lust","Do voters regard male and female candidates equally? Does apparent religiosity of candidates help or hurt their electoral chances? Where biases exist, what explains them? We present a novel explanation of political bias, drawing from role congruity theory. It posits that political contexts shape citizens' perceptions of qualities that make a &#8220;capable leader,&#8221; which subsequently drives their willingness to vote for candidates. Evidence from a survey experiment embedded in the 2012 Tunisian Post-Election Survey demonstrates that this theory explains biases based on gender and religiosity better than dominant modernization and social identity theories. Moreover, these mechanisms are also likely to drive political biases related to other features and in other countries. This has important implications for policymakers aiming to reduce political biases in Tunisia, the MENA, or globally. It should encourage them to pay careful attention to stereotyped traits of underrepresented groups and successful leaders, and to use institutional solutions (e.g., electoral quotas) to shape expectations about underrepresented groups and leadership.","","","","","","","","","","","","","","","","","1070","210"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9586523&amp&fulltextType=RA&amp&fileId=S1537592714003156","2015","13","Sun Mar 01 00:00:00 GMT 2015","1-267","A Non-Gendered Lens? Media, Voters, and Female Candidates in Contemporary Congressional Elections","Much research in the study of U.S. politics has argued that female candidates for elected office are treated differently&#8212;and often worse&#8212;than male candidates in the press and by the public. Although these patterns do not doom women to electoral failure, they raise a formidable series of obstacles that often complicate women&#8217;s path to elective office, slowing the move toward gender parity in representation. Broad changes to the American political landscape, as well as methodological limitations of previous work, however, suggest the need for an updated assessment. We rely on a detailed content analysis of local newspaper coverage from nearly 350 U.S. House districts and nationally representative survey data from the 2010 midterms to provide a comprehensive evaluation of whether women experience a more hostile campaign environment than do men. We find that candidate sex does not affect journalists&#8217; coverage of, or voters&#8217; attitudes toward, the women and men running for office in their districts. Rather, reporters&#8217; portrayals and citizens&#8217; assessments of candidates stem primarily from partisanship, ideology, and incumbency, not the sex of the candidate. Although our results differ from much of the existing literature, we regard them as a valuable point of departure for answering pressing questions about gender and representation in contemporary politics, both in an American and comparative context.' + '","http://dx.doi.org/10.1017/S1537592714003156","95-118","Jennifer L. Lawless","Much research in the study of U.S. politics has argued that female candidates for elected office are treated differently&#8212;and often worse&#8212;than male candidates in the press and by the public. Although these patterns do not doom women to electoral failure, they raise a formidable series of obstacles that often complicate women&#8217;s path to elective office, slowing the move toward gender parity in representation. Broad changes to the American political landscape, as well as methodological limitations of previous work, however, suggest the need for an updated assessment. We rely on a detailed content analysis of local newspaper coverage from nearly 350 U.S. House districts and nationally representative survey data from the 2010 midterms to provide a comprehensive evaluation of whether women experience a more hostile campaign environment than do men. We find that candidate sex does not affect journalists&#8217; coverage of, or voters&#8217; attitudes toward, the women and men running for office in their districts. Rather, reporters&#8217; portrayals and citizens&#8217; assessments of candidates stem primarily from partisanship, ideology, and incumbency, not the sex of the candidate. Although our results differ from much of the existing literature, we regard them as a valuable point of departure for answering pressing questions about gender and representation in contemporary politics, both in an American and comparative context.","Danny Hayes","Much research in the study of U.S. politics has argued that female candidates for elected office are treated differently&#8212;and often worse&#8212;than male candidates in the press and by the public. Although these patterns do not doom women to electoral failure, they raise a formidable series of obstacles that often complicate women&#8217;s path to elective office, slowing the move toward gender parity in representation. Broad changes to the American political landscape, as well as methodological limitations of previous work, however, suggest the need for an updated assessment. We rely on a detailed content analysis of local newspaper coverage from nearly 350 U.S. House districts and nationally representative survey data from the 2010 midterms to provide a comprehensive evaluation of whether women experience a more hostile campaign environment than do men. We find that candidate sex does not affect journalists&#8217; coverage of, or voters&#8217; attitudes toward, the women and men running for office in their districts. Rather, reporters&#8217; portrayals and citizens&#8217; assessments of candidates stem primarily from partisanship, ideology, and incumbency, not the sex of the candidate. Although our results differ from much of the existing literature, we regard them as a valuable point of departure for answering pressing questions about gender and representation in contemporary politics, both in an American and comparative context.","","","","","","","","","","","","","","","","","1101","244"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9586486&amp&fulltextType=RA&amp&fileId=S1537592714003168","2015","13","Sun Mar 01 00:00:00 GMT 2015","1-267","Ideological Republicans and Group Interest Democrats: The Asymmetry of American Party Politics","Scholarship commonly implies that the major political parties in the United States are configured as mirror images to each other, but the two sides actually exhibit important and underappreciated differences. The Republican Party is primarily the agent of an ideological movement whose supporters prize doctrinal purity, while the Democratic Party is better understood as a coalition of social groups seeking concrete government action. This asymmetry is reinforced by American public opinion, which favors left-of-center positions on most specific policy issues yet simultaneously shares the general conservative preference for smaller and less active government. Each party therefore faces a distinctive governing challenge in balancing the unique demands of its base with the need to maintain broad popular support. This foundational difference between the parties also explains why the rise of the Tea Party movement among Republicans in recent years has not been accompanied by an equivalent ideological insurgency among Democrats.' + '","http://dx.doi.org/10.1017/S1537592714003168","119-139","David A. Hopkins","Scholarship commonly implies that the major political parties in the United States are configured as mirror images to each other, but the two sides actually exhibit important and underappreciated differences. The Republican Party is primarily the agent of an ideological movement whose supporters prize doctrinal purity, while the Democratic Party is better understood as a coalition of social groups seeking concrete government action. This asymmetry is reinforced by American public opinion, which favors left-of-center positions on most specific policy issues yet simultaneously shares the general conservative preference for smaller and less active government. Each party therefore faces a distinctive governing challenge in balancing the unique demands of its base with the need to maintain broad popular support. This foundational difference between the parties also explains why the rise of the Tea Party movement among Republicans in recent years has not been accompanied by an equivalent ideological insurgency among Democrats.","Matt Grossmann","Scholarship commonly implies that the major political parties in the United States are configured as mirror images to each other, but the two sides actually exhibit important and underappreciated differences. The Republican Party is primarily the agent of an ideological movement whose supporters prize doctrinal purity, while the Democratic Party is better understood as a coalition of social groups seeking concrete government action. This asymmetry is reinforced by American public opinion, which favors left-of-center positions on most specific policy issues yet simultaneously shares the general conservative preference for smaller and less active government. Each party therefore faces a distinctive governing challenge in balancing the unique demands of its base with the need to maintain broad popular support. This foundational difference between the parties also explains why the rise of the Tea Party movement among Republicans in recent years has not been accompanied by an equivalent ideological insurgency among Democrats.","","","","","","","","","","","","","","","","","1275","1129"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9586491&amp&fulltextType=RV&amp&fileId=S153759271400317X","2015","13","Sun Mar 01 00:00:00 GMT 2015","1-267","How Not to Explain the French Revolution","Don Herzog is Edson R. Sunderland Professor of Law at the University of Michigan (<span class='nowrap'><a href='mailto:dherzog@umich.edu'>dherzog@umich.edu</span>)","http://dx.doi.org/10.1017/S153759271400317X","140-142","Don Herzog","","","","","","","","","","","","","","","","","","","","667","255"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9586537&amp&fulltextType=BR&amp&fileId=S1537592714003181","2015","13","Sun Mar 01 00:00:00 GMT 2015","1-267","Networks of Domination: The Social Foundations of Peripheral Conquest in International Politics. By Paul K. MacDonald. New York: Oxford University Press, 2014. 336p. $74.00.","","http://dx.doi.org/10.1017/S1537592714003181","143-145","Dipali Mukhopadhyay","Columbia University","","","","","","","","","","","","","","","","","","","268","66"
