article.url, issue.year, issue.volume, issue.date.of.publication, issue.pages, article.title, article.abstract, article.doi, article.pages, author1, institution1, author2, institution2, author3, institution3, author4, institution4, author5, institution5, author6, institution6, author7, institution7, author8, institution8, author9, institution9, author10, institution10, article.abstract.views, article.full.text.views
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9492067&amp&fulltextType=RA&amp&fileId=S0043887115000325","2015","67","Thu Jan 01 00:00:00 GMT 2015","1-183","The Logic of Party Collusion in a Democracy: Evidence from Mali","A credible opposition is necessary for democratic accountability. However, in a multiparty democracy, a credible opposition may fail to emerge when it is in the strategic interest of political parties to collude rather than compete, effectively extinguishing all credible opposition. The author argues that illicit collusion among parties on a representative council is more likely when all viable parties win seats and are thus able to enter into a self-binding commitment to jointly engage in misconduct without risk of exposure. Conversely, when at least one party fails to win representation on the council, there is a credible opposition with the incentive and ability to threaten exposure of rent seeking among council members. The theory is tested using a regression discontinuity design where the electoral threshold to win a single seat is, within a narrow band, an exogenous determinant of whether or not there is an out-party or credible opposition. Exploiting the fact that Mali&#39;s decentralization produces within-country variation in both electoral and governance outcomes, the author uses data from commune council elections alongside local-level public goods provision as a measure of rent seeking. Poorer public goods provision is indeed more likely when all political parties in a district win seats on the council. To show that collusion is the mechanism driving this relationship, the author tests several observable implications in the data and uses qualitative evidence as illustration. This examination of when it is in the strategic interest of parties to engage in uncompetitive behavior contributes to the literature on when elections fail to produce democratic accountability.' + '","http://dx.doi.org/10.1017/S004388711400032X","1-36","JessicaGottlieb","A credible opposition is necessary for democratic accountability. However, in a multiparty democracy, a credible opposition may fail to emerge when it is in the strategic interest of political parties to collude rather than compete, effectively extinguishing all credible opposition. The author argues that illicit collusion among parties on a representative council is more likely when all viable parties win seats and are thus able to enter into a self-binding commitment to jointly engage in misconduct without risk of exposure. Conversely, when at least one party fails to win representation on the council, there is a credible opposition with the incentive and ability to threaten exposure of rent seeking among council members. The theory is tested using a regression discontinuity design where the electoral threshold to win a single seat is, within a narrow band, an exogenous determinant of whether or not there is an out-party or credible opposition. Exploiting the fact that Mali's decentralization produces within-country variation in both electoral and governance outcomes, the author uses data from commune council elections alongside local-level public goods provision as a measure of rent seeking. Poorer public goods provision is indeed more likely when all political parties in a district win seats on the council. To show that collusion is the mechanism driving this relationship, the author tests several observable implications in the data and uses qualitative evidence as illustration. This examination of when it is in the strategic interest of parties to engage in uncompetitive behavior contributes to the literature on when elections fail to produce democratic accountability.","","","","","","","","","","","","","","","","","","","923","352"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9492042&amp&fulltextType=RA&amp&fileId=S0043887114000306","2015","67","Thu Jan 01 00:00:00 GMT 2015","1-183","The Art of the Possible: Power Sharing and Post—Civil War Democracy","Although there is now a wealth of scholarship concerning the onset, duration, and termination of civil wars, there is not nearly as much empirical research by political scientists on the potential for postconflict democratization in countries that have been the site of civil wars. This relative scholarly neglect of post&#8211;civil war democratization stands in contrast to the efforts and resources that other actors&#8212;foreign ministries, international and nongovernmental organizations, and members of civil society&#8212;have invested in attempting to help construct democracy in postconflict states such as Indonesia, Liberia, and Uganda.","http://dx.doi.org/10.1017/S0043887114000306","37-71","Caroline A.Hartzell","","MatthewHoddie","","","","","","","","","","","","","","","","","","1363","580"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9492061&amp&fulltextType=RA&amp&fileId=S0043887114000343","2015","67","Thu Jan 01 00:00:00 GMT 2015","1-183","How International Organizations Support Democratization: Preventing Authoritarian Reversals or Promoting consolidation?","Democratization in the developing world is, according to Samuel Huntington, &#8220;an important&#8212;perhaps the most important&#8212;global political development of the late twentieth century.&#8221; While scholars of comparative politics have explored the domestic political economy of democratic transitions, they, along with scholars of international relations, also recognize that international actors, particularly international organizations (IOs), are crucial for successful political transformation.","http://dx.doi.org/10.1017/S0043887114000343","72-113","PaulPoast","","JohannesUrpelainen","","","","","","","","","","","","","","","","","","1462","621"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9492044&amp&fulltextType=RA&amp&fileId=S0043887114000331","2015","67","Thu Jan 01 00:00:00 GMT 2015","1-183","Open Trade, Closed Borders Immigration in the Era of Globalization","What explains variation in immigration policy, especially policy regulating low-skill workers? A common argument invokes prejudice against foreigners as an explanation for why nations close their economies to immigrants. This prejudice has been ubiquitous throughout history even as immigration policies changed. Social theories of this sort may be descriptively true but are not helpful in predicting variation in policy. Other scholars have turned to the role that native labor plays in protecting its interests against immigration, but they have not explained why labor is able to restrict immigration when it has not been able to restrict trade, even though open trade has wreaked as much, if not more, havoc on labor. A third group of scholars focuses on states' concerns about the fiscal costs of immigrants as an explanation for the changes in policy over time. While fiscal costs are likely to play a role, this argument cannot explain exclusion prior to the creation of the modern welfare state in the early twentieth century. Finally, a fourth group of scholars has examined the power of immigrants themselves. While immigrants clearly affect immigration policy in democracies, they have never been a sufficiently large plurality of the polity to be able to change policy on their own, and they have less voice in autocracies where they can more easily be deported.","http://dx.doi.org/10.1017/S0043887114000331","114-154","Margaret E.Peters","","","","","","","","","","","","","","","","","","","","1871","666"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9492059&amp&fulltextType=RA&amp&fileId=S0043887114000318","2015","67","Thu Jan 01 00:00:00 GMT 2015","1-183","The Economic Sins of Modern IR Theory and the Classical Realist Alternative","ISMs matter. They reflect underlying philosophical points of departure and are rooted in specific explicit assumptions about how the world works. The very different expectations and conclusions of diverse theories often stem from the fact that those theories were derived from distinct and contrasting paradigmatic roots. To be aware of those foundations is to understand the likely strengths, weaknesses, limitations, controversies, and specific attributes of the various theories. In contemporary international relations (IR) scholarship there is a common claim that we are past paradigms, and many younger scholars are expected to recite this mantra. But making such a claim is a political act, not an intellectual one. It reflects the hegemony of one particular paradigmatic perspective&#8212;one with specific analytical building blocks of individualism, materialism, and hyperrationalism&#8212;an approach that is a paradigm and one so powerful that it has been described as an &#8220;intellectual monoculture.&#8221;","http://dx.doi.org/10.1017/S0043887114000318","155-183","JonathanKirshner","","","","","","","","","","","","","","","","","","","","3485","904"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9492063&amp&fulltextType=XX&amp&fileId=S0043887114000379","2015","67","Thu Jan 01 00:00:00 GMT 2015","1-183","WPO volume 67 issue 1 Cover and Front matter","","http://dx.doi.org/10.1017/S0043887114000379","f1-f6","","","","","","","","","","","","","","","","","","","","","348","76"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9492065&amp&fulltextType=XX&amp&fileId=S0043887114000380","2015","67","Thu Jan 01 00:00:00 GMT 2015","1-183","WPO volume 67 issue 1 Cover and Back matter","","http://dx.doi.org/10.1017/S0043887114000380","b1-b3","","","","","","","","","","","","","","","","","","","","","147","49"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9623232&amp&fulltextType=RA&amp&fileId=S0043887115000039","2015","67","Wed Apr 01 00:00:00 BST 2015","185-385","Democratic Limits to Redistribution: Inclusionary versus Exclusionary Coalitions in the Knowledge Economy","The knowledge economy, deindustrialization, and the decline of Fordism have undermined the economic complementarities that once existed between skilled and semiskilled workers. The result has everywhere been a decline in coordinated wage bargaining and unionization and a notable rise in labor market inequality. Yet, the political responses have been very different across advanced democracies. While labor markets for part-time and temporary employment have been deregulated across the board, some countries have compensated losers through increased cash transfers and active labor market programs and others have allowed inequality and insider-outsider divisions to grow deeper. The article argues that the divergent government responses reflect differences in underlying electoral coalitions, and that these in turn mirror the structure of party and electoral systems. The authors support their argument with evidence for government responses to economic shocks in the period 1980 to 2010.' + '","http://dx.doi.org/10.1017/S0043887115000039","185-225","Torben IversenDavid Soskice","","","","","","","","","","","","","","","","","","","","1663","551"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9623213&amp&fulltextType=RA&amp&fileId=S0043887114000392","2015","67","Wed Apr 01 00:00:00 BST 2015","185-385","Explaining the Oil Advantage: Effects of Natural Resource Wealth on Incumbent Reelection in Iran","Why does natural resource wealth prolong incumbency? Using evidence from parliamentary elections in the Islamic Republic of Iran, the author shows that natural resource revenues boost incumbent reelection rates because they are used to provide public or private goods to constituents, which incentivizes voters to reelect incumbents over challengers. To test this hypothesis, the author employs originally assembled data on five parliamentary elections in Iran (1992&#8211;2008) in longitudinal hierarchical regression analyses at the district and province levels. By leveraging Iran&#39;s mixed-member electoral system, he shows that the resource-incumbency mechanism works primarily in single-member districts with little evidence of an incumbency advantage for politicians in resource-rich multimember districts. Building on the rentier theory of natural resource wealth, the results suggest that voting for the incumbent is attributable to patronage and public goods distribution. The findings offer new insights into the understudied context of Iranian legislative elections, illustrate the mechanisms driving the relationship between resource wealth and incumbency advantage at the subnational level in a nondemocratic setting, and highlight the mediating effects of electoral institutions on the resource-incumbency relationship.' + '","http://dx.doi.org/10.1017/S0043887114000392","226-267","Paasha Mahdavi","","","","","","","","","","","","","","","","","","","","1162","412"
"http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp&aid=9623217&amp&fulltextType=RA&amp&fileId=S0043887115000027","2015","67","Wed Apr 01 00:00:00 BST 2015","185-385","Moderating Diffusion: Military Bureaucratic Politics and the Implementation of German Doctrine in South America, 1885–1914","How do military ideas, and military doctrines in particular, spread through the international system? This article extends extant work on military diffusion by exploring why some states, after deciding to adopt another&#39;s innovative warfighting system, fail to implement it. The author argues that for states to successfully implement a military doctrine developed abroad, much information about the unobservable aspects of the warfighting system is needed. States vary in their capacity to acquire the necessary knowledge because they face differing levels of resistance to military diffusion within their armed forces. Powerful groups within the military that are opposed to such adoptions are likely to use their influence to press for policies and bureaucratic maneuvers that constrain information flows between innovating states and their own state and consequently inhibit implementation and diffusion of military doctrines. Therefore successful implementation of foreign military doctrines can be expected when states face minimal resistance within their militaries, and moderated or failed implementation can be expected when opposition is more significant. A provisional test of the argument is conducted through an assessment of Argentina, Brazil, and Chile&#39;s attempts to implement the German military doctrine at the turn of the twentieth century.' + '","http://dx.doi.org/10.1017/S0043887115000027","268-312","Ryan Grauer","","","","","","","","","","","","","","","","","","","","728","231"
